Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C15, C17, C18, C2, C22, C25, C26, C27, C28, C29, C3, C30, C31, C32, C6, C7, C8, C9",0402,22,0.1uF,
"C13, C14, C23, C24, C4, C5",0805,6,10uF,
C16,0402,1,0.001uF,
C19,0402,1,1uF,
"C20, C21",0402,2,18pF,
"FB1, FB2, FB3, FB4",0402,4,220@100MHz,
"J1, J2, J3",USB3_A_Receptacle_Wuerth_692122030100,3,USB3_A,
"J4, J5",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_16P,
R1,0402,1,90.9k,
"R10, R2",0402,2,10k,
"R11, R12, R13, R14",0402,4,56k,
"R3, R9",0402,2,1M,
"R4, R5, R7, R8",0402,4,4.7k,
R6,0402,1,9.53k,
U1,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,1,TUSB8041,
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-1.1DRV,
U4,SOT-23-5,1,TLV75533PDBV,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
